"","assignmentid","workerid","amount"
"1","369J354OFDBZLQ22LPX86SJG4606GQ","A3JAM040VWXHDO",0.5
"2","379J5II41OHJKX9I2YDMV8G1HLXLEJ","A1YH1WHYO3IFOC",0.5
"3","3A1COHJ8NJW0P0G1YACOB6R8P1Y8H8","APF1EAZT104LQ",0.5
"4","3B4YI393V9X7YT9QN2USWBYBA6ESS5","ACKG8OU1KHKO2",0.5
"5","3DHE4R9OCWCB3PJ1YNL5GF24O1V2G2","A2Z0DI2L5GV87Y",0.5
"6","3DUZQ9U6SMPNQLQUHXZX7YII9AISVK","A2KBZ75HMJ7KVX",0.5
"7","3EKVH9QMEY58R59AWXKXAUZ7B9E2DR","A2QYMRE37M9PAO",0.5
"8","3IHR8NYAM72RJGRN5KUG33DU96B4P1","A2CHDWKAYZ3P3E",0.5
"9","3JRJSWSMQHM24TJTWS9MZMMKHZE3EV","A1VFU1BQ727TX5",0.5
"10","3MH9DQ757WDKN1S3H7VBMYXW7SDUGB","A30CGO77OY7WP0",0.5
"11","3QRYMNZ7FYIBXGU046IW7MKRPQPTNO","A34VLM2UC0JY11",0.5
"12","3TVSS0C0E111KA3EW79J35XII2TTWF","A1ZJDBN0F7R5OJ",0.5
"13","3VAR3R6G1P2AHH2O2N7EVFO91N4O84","A1K6LH7NTGQOKS",0.5
"14","3WR9XG3T63C2DANN9Y0Z3HM99C847X","A15JI9ZIILGCAK",0.5
"15","3X65QVEQI0O4NZP4677R5KGYW9PLCV","A3OY0POKX8NCF5",0.5
"16","3YMTUJH0DSHPB8KUM1308DERY9Y4T8","A5A14MTB35J23",0.5
"17","3YWRV122CS05UMMLY9JNULGYJ938UC","A17IZXZ352YXC5",0.5
"18","31T4R4OBOSH58E022D6HMFYX1S9C78","A3H8M155NBFE1L",0.5
"19","32ZKVD547FO4XQ79M17WYEGZE5QB3Y","AA20CNJ7ILLPL",0.5
"20","352YTHGROVEZ6ZTZM7MBUUB3NHHH4T","A77EN6TMUN0ZM",0.5
"21","37UQDCYH6XW17N62TU1MC7MMMZR7V4","AA4O2W236E3FW",0.5
"22","39OWYR0EPKSVQAGDGOMI7Y3X237FYI","APPOO1EBDMS7M",0.5
"23","3BF51CHDTVBI7BBY36Z9IRLQ651H0D","A2BA2KLNO29T8D",0.5
"24","3COPXFW7XBDCXIGQQCHWAK2Q6UIPKX","A2JTSH1VPJQ8FR",0.5
"25","3CP1TO84PT2DNSUHHR2ECIBFYUY255","AQJQ2B28VFNTX",0.5
"26","3D4CH1LGEAUM3940JW0KQ2AIU9O9GO","A39LVL4A92K88X",0.5
"27","3DL65MZB8DGQHTFCPLKNSPQENE6ECN","A2HDVJ3CZXV0EZ",0.5
"28","3GA6AFUKOOPEO3AVMTHSKPJX9HLH38","A2FEPNA8OA1UE",0.5
"29","3HPZF4IVNMUONYW3PMWHZSIU5QDCY2","A2M926W9I0CP93",0.5
"31","3UN61F00HWQURCB2WHHFDQJNANL5RW","A2S077TSDERITY",0.5
"32","3VAR3R6G1P2AHH2O2N7EVFO91PRO8V","ATP2BJPDK4K2B",0.5
"33","3GA6AFUKOOPEO3AVMTHSKPJX9D9H3O","A125MIMKC38PVH",0.5
"34","3KAKFY4PGU3EKYLFSBZDK1KC9J23I3","A12H8YZ180UW05",0.5
"35","3JBT3HLQF837MDFCQDK6XZQ3AIBZP3","A12UVTYGWSV0G",0.5
"36","37TRT2X24QSFI49YPMZJELXOAOLJBZ","A1376QCT0WY4UO",0.5
"37","3LKC68YZ3A4L7IY60QNK9VRVJD9WOV","A137IPEPDNEGWW",0.5
"38","3KJYX6QCM9CURI74U3QJFXRVDPCVJA","A13IZFLV4QBGSJ",0.5
"39","3TPZPLC3M0D61K8J56PXTYLOVNCP3W","A13JQTLPWXZD6L",0.5
"40","3OVHNO1VE62YXGCML4TBX59EW0IZD1","A13WYZ8AXD6ODX",0.5
"41","3P59JYT76LLF8U57INKCFYHTEDR2TZ","A147QJNRYI5GM2",0.5
"42","3E47SOBEYQX2XYHYL4AED4O6FWICID","A14DAR2DMHRW9Q",0.5
"43","354P56DE9K4LFVPYZZWH1K2FN967S0","A14EYTLSMJRPUK",0.5
"44","3X1FV8S5JXSK0GH3MX5GIKZFLGIGVG","A152OI3N7VA7A1",0.5
"45","3DEL4X4EL6MCQW7YGIS4D53464FYXW","A181UC7ZY81WH8",0.5
"46","3NG53N1RLVKS2HEPHNKTKFTZBM08PT","A19DMQA74225ZI",0.5
"47","3Z4AIRP3C6EF0QWV4TLVZISUZ38X13","A19HMCT6V15WRU",0.5
"48","3KRVW3HTZNM40YWL35Y6K2Z5IZYSMV","A1ADAWW4IHPCQ7",0.5
"49","32N49TQG3GJJQP400XD6MYOCNM5AV0","A1BOOZ7XOIIKJE",0.5
"50","38BQUHLA9W1P264SWOHX0XP4L95OM2","A1BZ0AFHQSB6WL",0.5
"51","3ERMJ6L4DYTIH0CTF20VPB39VLEM7V","A1CUDX7TTS2W61",0.5
"52","3KMS4QQVK2R065RWC9LRYQOM43BKFZ","A1DA95EVGU6QUO",0.5
"53","3X31TUMD7XNK0WF6QAI7OOX7SUSL1Z","A1DZDAR6J7N3HH",0.5
"54","3RWE2M8QWHBAH7X964UMNBIMSDX0NK","A1FCGGSLS4TPNV",0.5
"55","39K0FND3AHG002ARM5CFZ25ZWTWMAY","A1FN47KACHQ5W",0.5
"56","3GS6S824SQY3PXYUZBN7U6RQT91WNP","A1FVDI98ZESRLP",0.5
"57","3WRFBPLXRAP6YZW6PRC5P9GTV9T3NY","A1GV3SF9AKA8BU",0.5
"58","30OG32W0SUC98XC3EBT180KQMEMNE8","A1IZ4NX41GKU4X",0.5
"59","3RSDURM96AN3KWGHLD2CPGIXQINYEA","A1J4TXVBRW33KN",0.5
"60","3BF51CHDTVBI7BBY36Z9IRLQ6L80HZ","A1KIL2V6SMJBGX",0.5
"61","3X65QVEQI0O4NZP4677R5KGYWQBLCF","A1L1S0IAPZB4MO",0.5
