X,mergy.workerid,mergy.assignmentid,mergy.bonus
1,A10048W1LKR40,30OG32W0SUC98XC3EBT180KNRRJENL,1.43
2,A104A2KLC4VDSH,3SNVL38CI4TT3T7ML7VQQK3GCK1KCT,0.67
3,A10AVWALIHR4UQ,3LPW2N6LKT3M743J0BCKI164MUCU5R,2
4,A10SG5T0Y9TISG,3JBT3HLQF837MDFCQDK6XZQ0FCSZP7,0
5,A120UEIR3DMQ0V,3NKQQ8O39Y6HBHICFHU3GDUWZBAUDZ,2
6,A12HZGOZQD5YK7,340UGXU9DY235YIY62UXMZ03ZKVUVJ,2
7,A13FUEPWBCLBUY,3NGI5ARFTT6ARHU4I2BE556O2Y2P1X,2
8,A13GUTDMGGZZDL,3TE3O8573092SFSFEYFHFJG8VLI2RV,0
9,A143XRCI1YXAFE,31QNSG6A5RU3WBAPL1QCKT2BG9G784,1.22
10,A16020LLLA6BI7,358UUM7WRZ49EGPLKAWCBAXG613R7Z,1.09
11,A16GOBHWJDPD9T,34J10VATJFZ6RZRHQMB9X9DKOXVQIF,2
12,A186MBH9JN8ED9,3BC8WZX3V3XJWZ90TOUIGROG7DXRRY,1.09
13,A18E16UFE351U6,3S3AMIZX3U6LPN1CTQ93M78QSB4CD8,2
14,A196XR61DIW5GU,3QAPZX2QN4EESL8GKLW2VNFLMRA02E,2
15,A19KXJ5PWHS6YH,3MD9PLUKKIF7JS3ZAY7ETAL5FXTNZ1,1.22
16,A19QQG6PMSF316,35K3O9HUABEXK5ZMGNAO0VBEP0XEFE,0.19
17,A1AJMCWZBQYOAN,3GA6AFUKOOPEO3AVMTHSKPJUESX3HR,1.09
18,A1CFMY4CEYOM8Y,33SA9F9TRXVZVRLH6CKO4JXEK3NEWC,1.22
19,A1CFMY4CEYOM8Y,33SA9F9TRXVZVRLH6CKO4JXEK3NEWC,1.22
20,A1CFMY4CEYOM8Y,33SA9F9TRXVZVRLH6CKO4JXEK3NEWC,1.22
21,A1CFMY4CEYOM8Y,33SA9F9TRXVZVRLH6CKO4JXEK3NEWC,1.22
22,A1DABMXVWWL0TR,3TR2532VIPV9CSS3TVIB35BT19Q6JO,1.22
23,A1DMXEJGJY02E1,3EG49X351UDA7CXSAZXCUEJ8C74X62,0.67
24,A1DS5O8MSI3ZH0,3AMW0RGHOD3D5O1TNP9C2CJR5YLPNH,1.09
25,A1EDUAP3LASBJO,37FMASSAYCSJNTPS74EJ2KIL2VDBI3,1.09
26,A1F46RJTOXQM4J,3ZAZR5XV01JOSO68L8Y0DZRTGTGCZ9,2
27,A1FNA7IS6HB59,3EFE17QCRC6I8KVAC8ITSXR666JSHR,0.67
28,A1GRPIBHW72HDU,3WQ3B2KGE8H8NNTUZXTDAL1ZLT1B1A,2
29,A1GTYHV8OYQQLV,3QY5DC2MXRLE91W86NPT4DXHBOQUFA,1.43
30,A1HKCTDOTL6C9I,3DYGAII7PL9Y8LEL3H1T66EWACXQP0,0.19
31,A1IKK576F8WY0N,3YZ8UPK3VTN76PCYFLZSW7CEEDECU1,1.09
32,A1IMO5XR05U7S5,3Z9WI9EOZZPKK1I27Z9R1B0WPC6HKZ,1.52
33,A1IZ4NX41GKU4X,3X65QVEQI0O4NZP4677R5KGV1K6CLO,1.09
34,A1J1PWS99LFVPL,3DH6GAKTYYQ1VR7DH0GPAQJCJHVZY1,2
35,A1JWKT0IS06YKL,3D3VGR7TA0GRDXOYIYTMYTL01203RV,1.52
36,A1KOMHV7RQBUN6,31LVTDXBL7B8T1ENO4XMUFFH1L8RL8,2
37,A1L3937MY09J3I,33FOTY3KEMMRXSL0DXP8L57H3E1C1I,1.09
38,A1LA6CIGBNDOH9,3XLBSAQ9Z4DIG7BCURQPXDZFFKA7Z0,2
39,A1LWWVCY9FPIAW,3GU1KF0O4I2B4FCWKZ43BHJXO97PBS,0.19
40,A1M7G9KKXWH76A,38SKSKU7R1YV02B4YH3DGNEQER8ILI,1.52
41,A1N3OKB7K1VXMO,3PQMUDRV7R7TA13YDE60O7MYXLXIIJ,0
